time,xd,zd,contact
8.690000,0.013553,-0.210775,1
8.700000,0.013957,-0.210431,1
8.711000,0.014348,-0.210036,1
8.722000,0.014682,-0.209622,1
8.733000,0.014956,-0.209191,1
8.744000,0.015169,-0.208743,1
8.755000,0.015317,-0.208278,1
8.766000,0.015400,-0.207798,1
8.777000,0.015416,-0.207302,1
8.788000,0.015363,-0.206791,1
8.799000,0.015240,-0.206266,1
8.809000,0.015065,-0.205777,0
8.820000,0.014804,-0.205227,0
8.831000,0.014469,-0.204665,0
8.842000,0.014060,-0.204091,0
8.853000,0.013576,-0.203506,0
8.864000,0.013017,-0.202911,0
8.875000,0.012382,-0.202306,0
8.886000,0.011671,-0.201693,0
8.897000,0.010884,-0.201071,0
8.908000,0.010022,-0.200443,0
8.918000,0.009174,-0.199865,0
8.929000,0.008170,-0.199224,0
8.940000,0.007094,-0.198578,0
8.950000,0.006053,-0.197988,0
8.961000,0.004840,-0.197334,0
8.972000,0.003559,-0.196678,0
8.983000,0.002210,-0.196020,0
8.994000,0.000797,-0.195360,0
9.005000,-0.000666,-0.195300,0
9.016000,-0.002085,-0.195960,0
9.027000,-0.003439,-0.196618,0
9.038000,-0.004726,-0.197275,0
9.049000,-0.005945,-0.197928,0
9.059000,-0.006992,-0.198520,0
9.070000,-0.008076,-0.199166,0
9.081000,-0.009086,-0.199807,0
9.092000,-0.010022,-0.200443,0
9.103000,-0.010884,-0.201071,0
9.114000,-0.011671,-0.201693,0
9.125000,-0.012382,-0.202306,0
9.136000,-0.013017,-0.202911,0
9.147000,-0.013576,-0.203506,0
9.158000,-0.014060,-0.204091,0
9.168000,-0.014435,-0.204613,0
9.179000,-0.014777,-0.205177,0
9.190000,-0.015045,-0.205728,0
9.200000,-0.015225,-0.206218,1
9.211000,-0.015355,-0.206744,1
9.222000,-0.015414,-0.207256,1
9.233000,-0.015405,-0.207753,1
9.244000,-0.015328,-0.208235,1
9.255000,-0.015185,-0.208701,1
9.266000,-0.014978,-0.209151,1
9.277000,-0.014709,-0.209583,1
9.288000,-0.014381,-0.209999,1
9.299000,-0.013995,-0.210396,1
9.309000,-0.013595,-0.210741,1
9.320000,-0.013106,-0.211103,1
9.331000,-0.012565,-0.211446,1
9.341000,-0.012032,-0.211740,1
9.352000,-0.011403,-0.212045,1
9.363000,-0.010730,-0.212329,1
9.374000,-0.010018,-0.212593,1
9.385000,-0.009269,-0.212836,1
9.396000,-0.008486,-0.213057,1
9.407000,-0.007672,-0.213257,1
9.418000,-0.006830,-0.213436,1
9.429000,-0.005963,-0.213592,1
9.440000,-0.005076,-0.213726,1
9.450000,-0.004253,-0.213829,1
9.461000,-0.003333,-0.213920,1
9.472000,-0.002402,-0.213989,1
9.483000,-0.001462,-0.214035,1
9.494000,-0.000517,-0.214059,1
9.505000,0.000430,-0.214060,1
9.516000,0.001376,-0.214039,1
9.527000,0.002316,-0.213994,1
9.538000,0.003249,-0.213927,1
9.549000,0.004170,-0.213838,1
9.559000,0.004994,-0.213737,1
9.570000,0.005883,-0.213605,1
9.581000,0.006752,-0.213451,1
9.591000,0.007520,-0.213291,1
9.602000,0.008340,-0.213095,1
9.613000,0.009129,-0.212878,1
9.624000,0.009884,-0.212639,1
9.635000,0.010604,-0.212379,1
9.646000,0.011284,-0.212098,1
9.657000,0.011921,-0.211797,1
9.668000,0.012514,-0.211476,1
9.679000,0.013059,-0.211135,1
9.690000,0.013553,-0.210775,1
9.700000,0.013957,-0.210431,1
9.711000,0.014348,-0.210036,1
9.722000,0.014682,-0.209622,1
9.733000,0.014956,-0.209191,1
9.744000,0.015169,-0.208743,1
9.755000,0.015317,-0.208278,1
9.766000,0.015400,-0.207798,1
9.777000,0.015416,-0.207302,1
9.788000,0.015363,-0.206791,1
9.799000,0.015240,-0.206266,1
9.809000,0.015065,-0.205777,0
9.820000,0.014804,-0.205227,0
9.831000,0.014469,-0.204665,0
9.841000,0.014101,-0.204144,0
9.852000,0.013623,-0.203560,0
9.863000,0.013071,-0.202966,0
9.874000,0.012442,-0.202362,0
9.885000,0.011738,-0.201749,0
9.896000,0.010959,-0.201128,0
9.907000,0.010104,-0.200500,0
9.918000,0.009174,-0.199865,0
9.929000,0.008170,-0.199224,0
9.940000,0.007094,-0.198578,0
9.950000,0.006053,-0.197988,0
9.961000,0.004840,-0.197334,0
9.972000,0.003559,-0.196678,0
9.982000,0.002336,-0.196079,0
9.993000,0.000928,-0.195420,0
10.004000,-0.000534,-0.195240,0
10.015000,-0.001958,-0.195900,0
10.026000,-0.003318,-0.196558,0
10.037000,-0.004612,-0.197215,0
10.048000,-0.005837,-0.197869,0
10.059000,-0.006992,-0.198520,0
10.070000,-0.008076,-0.199166,0
10.081000,-0.009086,-0.199807,0
10.091000,-0.009940,-0.200385,0
10.102000,-0.010809,-0.201015,0
10.113000,-0.011602,-0.201637,0
10.124000,-0.012320,-0.202251,0
10.135000,-0.012962,-0.202857,0
10.146000,-0.013529,-0.203453,0
10.157000,-0.014019,-0.204038,0
10.168000,-0.014435,-0.204613,0
10.179000,-0.014777,-0.205177,0
10.190000,-0.015045,-0.205728,0
10.200000,-0.015225,-0.206218,1
10.211000,-0.015355,-0.206744,1
10.222000,-0.015414,-0.207256,1
10.232000,-0.015408,-0.207708,1
10.243000,-0.015337,-0.208192,1
10.254000,-0.015201,-0.208659,1
10.265000,-0.015000,-0.209111,1
10.276000,-0.014736,-0.209545,1
10.287000,-0.014413,-0.209962,1
10.298000,-0.014032,-0.210361,1
10.309000,-0.013595,-0.210741,1
10.320000,-0.013106,-0.211103,1
10.331000,-0.012565,-0.211446,1
10.341000,-0.012032,-0.211740,1
10.352000,-0.011403,-0.212045,1
10.363000,-0.010730,-0.212329,1
10.374000,-0.010018,-0.212593,1
10.385000,-0.009269,-0.212836,1
10.396000,-0.008486,-0.213057,1
10.407000,-0.007672,-0.213257,1
